id,Số Điện thoại,email,Trạng thái 
1,025598524355,lienhuong_le.irviv.thuaug11196646@yahoo.com,INACTIVE
2,026431508097,quocminh_tang.rxtbl.monaug13198492@gmail.com,ACTIVE
3,022638070122,diemphuoc.ho.kbref.frioct191990@hotmail.com,DELETED
4,02339746539,yentrang.le.zzcei.wedaug111965@gmail.com,INACTIVE
5,024533096652,haian.7ko.esjgu.thufeb172000@hotmail.com,DELETED
6,029574713100,bichhong.nguyen.bvrxp.satjan122008@hotmail.com,INACTIVE
7,025421379448,dungviet.duong.uofjm.wednov282001@yahoo.com,DELETED
8,026430557536,khoinguyen_pham.spwne.wedmay091990@hotmail.com,ACTIVE
9,028481780115,phihung.duong.ifgza.sunjul021995@yahoo.com,DELETED
10,02988318839,hanhthao_mai.delyh.satjan051974@hotmail.com,ACTIVE
11,022448459851,thuymi.ngo.agyjx.monapr0519769@gmail.com,ACTIVE
12,02291996716,7kuctho.7kinh.kpbvz.tuesep13199415@yahoo.com,INACTIVE
13,027558703165,kimquyen_duong.iwfsr.tuefeb09196071@gmail.com,DELETED
14,022000725804,maily_phan.enrnb.sunjan26198662@hotmail.com,INACTIVE
15,025598524355,lienhuong_le.irviv.thuaug11196646@yahoo.com,INACTIVE
16,026431508097,quocminh_tang.rxtbl.monaug13198492@gmail.com,ACTIVE
17,022638070122,diemphuoc.ho.kbref.frioct191990@hotmail.com,DELETED
18,02339746539,yentrang.le.zzcei.wedaug111965@gmail.com,INACTIVE
19,024533096652,haian.7ko.esjgu.thufeb172000@hotmail.com,DELETED
20,029574713100,bichhong.nguyen.bvrxp.satjan122008@hotmail.com,INACTIVE
21,025421379448,dungviet.duong.uofjm.wednov282001@yahoo.com,DELETED
22,026430557536,khoinguyen_pham.spwne.wedmay091990@hotmail.com,ACTIVE
23,028481780115,phihung.duong.ifgza.sunjul021995@yahoo.com,DELETED
24,02988318839,hanhthao_mai.delyh.satjan051974@hotmail.com,ACTIVE
25,022448459851,thuymi.ngo.agyjx.monapr0519769@gmail.com,ACTIVE
26,02291996716,7kuctho.7kinh.kpbvz.tuesep13199415@yahoo.com,INACTIVE
27,027558703165,kimquyen_duong.iwfsr.tuefeb09196071@gmail.com,DELETED
28,022000725804,maily_phan.enrnb.sunjan26198662@hotmail.com,INACTIVE
29,025598524355,lienhuong_le.irviv.thuaug11196646@yahoo.com,INACTIVE
30,026431508097,quocminh_tang.rxtbl.monaug13198492@gmail.com,ACTIVE
31,022638070122,diemphuoc.ho.kbref.frioct191990@hotmail.com,DELETED
32,02339746539,yentrang.le.zzcei.wedaug111965@gmail.com,INACTIVE
33,024533096652,haian.7ko.esjgu.thufeb172000@hotmail.com,DELETED
34,029574713100,bichhong.nguyen.bvrxp.satjan122008@hotmail.com,INACTIVE
35,025421379448,dungviet.duong.uofjm.wednov282001@yahoo.com,DELETED
36,026430557536,khoinguyen_pham.spwne.wedmay091990@hotmail.com,ACTIVE
37,028481780115,phihung.duong.ifgza.sunjul021995@yahoo.com,DELETED
38,02988318839,hanhthao_mai.delyh.satjan051974@hotmail.com,ACTIVE
39,022448459851,thuymi.ngo.agyjx.monapr0519769@gmail.com,ACTIVE
40,02291996716,7kuctho.7kinh.kpbvz.tuesep13199415@yahoo.com,INACTIVE
41,027558703165,kimquyen_duong.iwfsr.tuefeb09196071@gmail.com,DELETED
42,022000725804,maily_phan.enrnb.sunjan26198662@hotmail.com,INACTIVE
43,025598524355,lienhuong_le.irviv.thuaug11196646@yahoo.com,INACTIVE
44,026431508097,quocminh_tang.rxtbl.monaug13198492@gmail.com,ACTIVE
45,022638070122,diemphuoc.ho.kbref.frioct191990@hotmail.com,DELETED
46,02339746539,yentrang.le.zzcei.wedaug111965@gmail.com,INACTIVE
47,024533096652,haian.7ko.esjgu.thufeb172000@hotmail.com,DELETED
48,029574713100,bichhong.nguyen.bvrxp.satjan122008@hotmail.com,INACTIVE
49,025421379448,dungviet.duong.uofjm.wednov282001@yahoo.com,DELETED
50,026430557536,khoinguyen_pham.spwne.wedmay091990@hotmail.com,ACTIVE
51,028481780115,phihung.duong.ifgza.sunjul021995@yahoo.com,DELETED
52,02988318839,hanhthao_mai.delyh.satjan051974@hotmail.com,ACTIVE
53,022448459851,thuymi.ngo.agyjx.monapr0519769@gmail.com,ACTIVE
54,02291996716,7kuctho.7kinh.kpbvz.tuesep13199415@yahoo.com,INACTIVE
55,027558703165,kimquyen_duong.iwfsr.tuefeb09196071@gmail.com,DELETED
56,022000725804,maily_phan.enrnb.sunjan26198662@hotmail.com,INACTIVE
57,025598524355,lienhuong_le.irviv.thuaug11196646@yahoo.com,INACTIVE
58,026431508097,quocminh_tang.rxtbl.monaug13198492@gmail.com,ACTIVE
59,022638070122,diemphuoc.ho.kbref.frioct191990@hotmail.com,DELETED
60,02339746539,yentrang.le.zzcei.wedaug111965@gmail.com,INACTIVE
61,024533096652,haian.7ko.esjgu.thufeb172000@hotmail.com,DELETED
62,029574713100,bichhong.nguyen.bvrxp.satjan122008@hotmail.com,INACTIVE
63,025421379448,dungviet.duong.uofjm.wednov282001@yahoo.com,DELETED
64,026430557536,khoinguyen_pham.spwne.wedmay091990@hotmail.com,ACTIVE
65,028481780115,phihung.duong.ifgza.sunjul021995@yahoo.com,DELETED
66,02988318839,hanhthao_mai.delyh.satjan051974@hotmail.com,ACTIVE
67,022448459851,thuymi.ngo.agyjx.monapr0519769@gmail.com,ACTIVE
68,02291996716,7kuctho.7kinh.kpbvz.tuesep13199415@yahoo.com,INACTIVE
69,027558703165,kimquyen_duong.iwfsr.tuefeb09196071@gmail.com,DELETED
70,022000725804,maily_phan.enrnb.sunjan26198662@hotmail.com,INACTIVE
71,025598524355,lienhuong_le.irviv.thuaug11196646@yahoo.com,INACTIVE
72,026431508097,quocminh_tang.rxtbl.monaug13198492@gmail.com,ACTIVE
73,022638070122,diemphuoc.ho.kbref.frioct191990@hotmail.com,DELETED
74,02339746539,yentrang.le.zzcei.wedaug111965@gmail.com,INACTIVE
75,024533096652,haian.7ko.esjgu.thufeb172000@hotmail.com,DELETED
76,029574713100,bichhong.nguyen.bvrxp.satjan122008@hotmail.com,INACTIVE
77,025421379448,dungviet.duong.uofjm.wednov282001@yahoo.com,DELETED
78,026430557536,khoinguyen_pham.spwne.wedmay091990@hotmail.com,ACTIVE
79,028481780115,phihung.duong.ifgza.sunjul021995@yahoo.com,DELETED
80,02988318839,hanhthao_mai.delyh.satjan051974@hotmail.com,ACTIVE
81,022448459851,thuymi.ngo.agyjx.monapr0519769@gmail.com,ACTIVE
82,02291996716,7kuctho.7kinh.kpbvz.tuesep13199415@yahoo.com,INACTIVE
83,027558703165,kimquyen_duong.iwfsr.tuefeb09196071@gmail.com,DELETED
84,022000725804,maily_phan.enrnb.sunjan26198662@hotmail.com,INACTIVE
85,025598524355,lienhuong_le.irviv.thuaug11196646@yahoo.com,INACTIVE
86,026431508097,quocminh_tang.rxtbl.monaug13198492@gmail.com,ACTIVE
87,022638070122,diemphuoc.ho.kbref.frioct191990@hotmail.com,DELETED
88,02339746539,yentrang.le.zzcei.wedaug111965@gmail.com,INACTIVE
89,024533096652,haian.7ko.esjgu.thufeb172000@hotmail.com,DELETED
90,029574713100,bichhong.nguyen.bvrxp.satjan122008@hotmail.com,INACTIVE
91,025421379448,dungviet.duong.uofjm.wednov282001@yahoo.com,DELETED
92,026430557536,khoinguyen_pham.spwne.wedmay091990@hotmail.com,ACTIVE
93,028481780115,phihung.duong.ifgza.sunjul021995@yahoo.com,DELETED
94,02988318839,hanhthao_mai.delyh.satjan051974@hotmail.com,ACTIVE
95,022448459851,thuymi.ngo.agyjx.monapr0519769@gmail.com,ACTIVE
96,02291996716,7kuctho.7kinh.kpbvz.tuesep13199415@yahoo.com,INACTIVE
97,027558703165,kimquyen_duong.iwfsr.tuefeb09196071@gmail.com,DELETED
98,022000725804,maily_phan.enrnb.sunjan26198662@hotmail.com,INACTIVE
99,025598524355,lienhuong_le.irviv.thuaug11196646@yahoo.com,INACTIVE
100,026431508097,quocminh_tang.rxtbl.monaug13198492@gmail.com,ACTIVE
101,022638070122,diemphuoc.ho.kbref.frioct191990@hotmail.com,DELETED
102,02339746539,yentrang.le.zzcei.wedaug111965@gmail.com,INACTIVE
103,024533096652,haian.7ko.esjgu.thufeb172000@hotmail.com,DELETED
104,029574713100,bichhong.nguyen.bvrxp.satjan122008@hotmail.com,INACTIVE
105,025421379448,dungviet.duong.uofjm.wednov282001@yahoo.com,DELETED
106,026430557536,khoinguyen_pham.spwne.wedmay091990@hotmail.com,ACTIVE
